from_lat,from_lon,to_lat,to_lon,km,source
17.01995,100.32026,13.40652,101.20732,492.2,google
17.01995,100.32026,13.7447,102.324,522.4,google
17.01995,100.32026,14.62893,103.40957,536.8,google
17.01995,100.32026,15.3708,100.13534,203.4,google
17.01995,100.32026,13.82633,101.25721,439.1,google
17.01995,100.32026,13.97256,102.7732,554.6,google
17.01995,100.32026,13.95154,100.97472,418.7,google
14.9075,100.08686,15.18526,100.23194,56.6,google
14.9075,100.08686,14.18789,100.47625,115.7,google
14.9075,100.08686,15.05041,101.70358,222.1,google
14.9075,100.08686,13.40652,101.20732,258.3,google
14.9075,100.08686,13.7447,102.324,305.0,google
14.9075,100.08686,14.62893,103.40957,411.5,google
14.9075,100.08686,15.3708,100.13534,68.4,google
14.9075,100.08686,13.82633,101.25721,238.1,google
14.9075,100.08686,13.97256,102.7732,362.7,google
14.9075,100.08686,13.95154,100.97472,185.0,google
14.57319,100.08287,15.18526,100.23194,99.1,google
14.57319,100.08287,14.18789,100.47625,79.9,google
14.57319,100.08287,15.05041,101.70358,226.0,google
14.57319,100.08287,13.40652,101.20732,222.6,google
14.57319,100.08287,13.7447,102.324,288.5,google
14.57319,100.08287,14.62893,103.40957,394.9,google
14.57319,100.08287,15.3708,100.13534,111.0,google
14.57319,100.08287,13.82633,101.25721,202.4,google
14.57319,100.08287,13.97256,102.7732,346.2,google
14.57319,100.08287,13.95154,100.97472,168.5,google
13.67603,100.60363,13.3375,101.08677,83.7,google
13.67603,100.60363,16.38124,103.22129,509.1,google
13.67603,100.60363,18.8401,98.98762,707.6,google
13.67603,100.60363,13.825,101.05471,71.6,google
13.67603,100.60363,13.61102,101.31725,97.5,google
13.67603,100.60363,14.65748,101.4045,181.1,google
13.67603,100.60363,13.40859,101.20776,90.8,google
13.67603,100.60363,14.83975,105.12624,612.6,google
13.67603,100.60363,14.19173,100.81368,75.9,google
13.67603,100.60363,13.93528,101.05366,83.5,google
16.28676,102.78511,13.3375,101.08677,434.2,google
16.28676,102.78511,16.38124,103.22129,63.2,google
16.28676,102.78511,18.8401,98.98762,660.9,google
16.28676,102.78511,13.825,101.05471,409.4,google
16.28676,102.78511,13.61102,101.31725,385.3,google
16.28676,102.78511,14.65748,101.4045,267.6,google
16.28676,102.78511,13.40859,101.20776,417.7,google
16.28676,102.78511,14.83975,105.12624,339.4,google
16.28676,102.78511,14.19173,100.81368,368.7,google
16.28676,102.78511,13.93528,101.05366,396.8,google
14.78251,101.9564,13.3375,101.08677,238.6,google
14.78251,101.9564,16.38124,103.22129,276.5,google
14.78251,101.9564,18.8401,98.98762,691.3,google
14.78251,101.9564,13.825,101.05471,218.1,google
14.78251,101.9564,13.61102,101.31725,189.7,google
14.78251,101.9564,14.65748,101.4045,80.0,google
14.78251,101.9564,13.40859,101.20776,222.1,google
14.78251,101.9564,14.83975,105.12624,361.2,google
14.78251,101.9564,14.19173,100.81368,177.5,google
14.78251,101.9564,13.93528,101.05366,205.5,google
14.71108,101.44291,13.3375,101.08677,247.8,google
14.71108,101.44291,16.38124,103.22129,321.8,google
14.71108,101.44291,18.8401,98.98762,646.9,google
14.71108,101.44291,13.825,101.05471,152.3,google
14.71108,101.44291,13.61102,101.31725,163.8,google
14.71108,101.44291,14.65748,101.4045,13.9,google
14.71108,101.44291,13.40859,101.20776,254.9,google
14.71108,101.44291,14.83975,105.12624,430.8,google
14.71108,101.44291,14.19173,100.81368,111.7,google
14.71108,101.44291,13.93528,101.05366,139.7,google
14.71352,100.82881,13.3375,101.08677,205.6,google
14.71352,100.82881,16.38124,103.22129,408.5,google
14.71352,100.82881,18.8401,98.98762,607.3,google
14.71352,100.82881,13.825,101.05471,121.4,google
14.71352,100.82881,13.61102,101.31725,167.8,google
14.71352,100.82881,14.65748,101.4045,80.4,google
14.71352,100.82881,13.40859,101.20776,212.7,google
14.71352,100.82881,14.83975,105.12624,511.9,google
14.71352,100.82881,14.19173,100.81368,70.0,google
14.71352,100.82881,13.93528,101.05366,108.8,google
14.73648,102.11758,13.3375,101.08677,238.3,google
14.73648,102.11758,16.38124,103.22129,265.5,google
14.73648,102.11758,18.8401,98.98762,706.5,google
14.73648,102.11758,13.825,101.05471,218.6,google
14.73648,102.11758,13.61102,101.31725,189.4,google
14.73648,102.11758,14.65748,101.4045,95.2,google
14.73648,102.11758,13.40859,101.20776,221.8,google
14.73648,102.11758,14.83975,105.12624,343.1,google
14.73648,102.11758,14.19173,100.81368,192.7,google
14.73648,102.11758,13.93528,101.05366,220.7,google
15.86157,102.01584,13.3375,101.08677,411.5,google
15.86157,102.01584,16.38124,103.22129,173.4,google
15.86157,102.01584,18.8401,98.98762,641.6,google
15.86157,102.01584,13.825,101.05471,315.9,google
